Player, Team, Pos, Salary, GP, MIN, REB, AST, STL, BLK, TO, PTS, USG, FPTS
Ty Lawson, IND, PG, 3500.00, 8, 132, 19, 27, 9, 1, 6, 38, 17.82, 14.41 
Alonzo Gee, NOP, SF, 3700.00, 7, 206, 31, 8, 5, 2, 15, 62, 13.55, 15.74 
J.R. Smith, CLE, SG, 4500.00, 11, 323, 27, 27, 11, 1, 10, 131, 15.69, 19.81 
Jeremy Lin, CHA, SG, 4200.00, 9, 239, 33, 28, 10, 2, 25, 129, 23.22, 23.29 
Brandon Jennings, ORL, PG, 4100.00, 10, 185, 20, 45, 9, 2, 12, 55, 19.18, 15.65 
Avery Bradley, BOS, SG, 5800.00, 8, 274, 35, 20, 16, 4, 9, 129, 19.89, 29.0 
Mo Williams, CLE, PG, 3500.00, 5, 49, 5, 5, 3, 0, 3, 25, 19.31, 8.3 
Ramon Sessions, WAS, PG, 3700.00, 10, 142, 21, 20, 3, 0, 13, 58, 22.72, 10.62 
George Hill, IND, PG, 4700.00, 10, 308, 34, 35, 7, 3, 12, 112, 14.55, 21.33 
Arron Afflalo, NYK, SG, 4100.00, 10, 307, 41, 20, 3, 1, 17, 87, 16.48, 15.72 
Randy Foye, OKC, SG, 3500.00, 10, 213, 12, 20, 7, 6, 9, 52, 13.58, 11.34 
Wayne Ellington, BKN, SG, 3500.00, 6, 135, 17, 9, 4, 1, 3, 33, 16.38, 12.32 
C.J. Watson, ORL, PG, 3500.00, 6, 96, 11, 11, 2, 0, 1, 16, 9.75, 8.12 
Gerald Henderson, POR, SG, 3800.00, 11, 268, 39, 11, 10, 2, 17, 133, 20.71, 18.48 
Marcus Thornton, WAS, SG, 3500.00, 6, 80, 13, 7, 7, 0, 5, 51, 28.64, 14.35 
Courtney Lee, CHA, SG, 4300.00, 10, 331, 33, 25, 17, 6, 9, 105, 13.79, 21.91 
Steve Blake, DET, PG, 3500.00, 10, 170, 18, 47, 4, 1, 6, 22, 12.64, 11.81 
J.J. Redick, LAC, SG, 4600.00, 9, 228, 25, 11, 6, 2, 7, 118, 19.60, 19.28 
James Harden, HOU, SG, 10900.00, 9, 367, 58, 94, 22, 5, 47, 262, 31.84, 53.29 
Toney Douglas, NOP, PG, 5600.00, 11, 317, 47, 46, 12, 1, 18, 133, 21.01, 24.22 
Louis Williams, LAL, SG, 4600.00, 7, 157, 10, 14, 5, 1, 10, 106, 24.57, 20.14 
Rodney Stuckey, IND, SG, 3800.00, 10, 169, 11, 21, 6, 0, 11, 77, 20.94, 12.27 
Jason Terry, HOU, PG, 3500.00, 9, 138, 7, 11, 4, 0, 5, 27, 13.23, 6.1 
Jose Calderon, NYK, PG, 4100.00, 8, 200, 28, 36, 7, 0, 8, 55, 13.70, 18.57 
Jamal Crawford, LAC, SG, 4900.00, 10, 273, 19, 31, 11, 2, 18, 152, 23.28, 22.93 
Devin Harris, DAL, SG, 3900.00, 8, 194, 19, 16, 10, 2, 8, 82, 17.15, 18.1 
Raymond Felton, DAL, PG, 4700.00, 8, 227, 25, 27, 5, 4, 12, 82, 18.32, 19.81 
Deron Williams, DAL, PG, 6100.00, 3, 109, 10, 34, 4, 0, 10, 54, 26.61, 38.33 
Kobe Bryant, LAL, SG, 5400.00, 8, 197, 18, 8, 8, 2, 11, 129, 31.03, 21.45 
Russell Westbrook, OKC, PG, 10700.00, 10, 330, 102, 106, 17, 2, 44, 211, 34.08, 48.64 
John Wall, WAS, PG, 9400.00, 10, 373, 51, 124, 15, 7, 48, 183, 29.85, 42.62 
Chris Paul, LAC, PG, 9700.00, 9, 267, 45, 93, 14, 2, 21, 186, 31.62, 43.39 
Monta Ellis, IND, SG, 6100.00, 10, 326, 42, 49, 19, 4, 22, 107, 19.27, 25.49 
Carmelo Anthony, NYK, SF, 8500.00, 8, 272, 50, 33, 8, 0, 21, 182, 29.25, 35.81 
Jonas Jerebko, BOS, PF, 3500.00, 7, 114, 31, 3, 3, 4, 3, 32, 12.42, 12.1 
James Jones, CLE, SF, 3500.00, 5, 40, 4, 0, 2, 1, 0, 34, 20.20, 8.96 
Richard Jefferson, CLE, SF, 3500.00, 8, 125, 12, 6, 5, 1, 4, 47, 13.54, 9.8 
Luke Babbitt, NOP, SF, 5000.00, 11, 277, 46, 21, 5, 2, 13, 142, 21.12, 20.88 
LeBron James, CLE, SF, 10600.00, 10, 342, 77, 86, 13, 7, 36, 261, 31.63, 48.64 
Paul George, IND, SF, 8900.00, 10, 336, 75, 31, 22, 5, 24, 232, 29.56, 39.85 
Lou Amundson, NYK, PF, 3500.00, 4, 24, 5, 3, 1, 3, 2, 2, 14.78, 4.63 
Dante Cunningham, NOP, PF, 3900.00, 11, 367, 42, 19, 8, 2, 9, 108, 12.80, 17.99 
Anthony Tolliver, DET, PF, 3500.00, 9, 125, 23, 6, 1, 2, 4, 49, 16.10, 9.73 
Ed Davis, POR, PF, 4600.00, 11, 226, 95, 14, 15, 16, 10, 77, 13.28, 24.0 
Jordan Hill, IND, C, 3500.00, 8, 122, 31, 5, 3, 5, 7, 51, 18.23, 13.09 
Corey Brewer, HOU, SF, 3500.00, 9, 140, 21, 2, 4, 5, 4, 42, 17.54, 9.36 
Al-Farouq Aminu, POR, SF, 5400.00, 11, 320, 78, 23, 10, 9, 13, 129, 16.64, 25.65 
Wesley Johnson, LAC, SF, 3700.00, 10, 220, 31, 5, 11, 8, 8, 69, 13.97, 14.37 
Ryan Anderson, NOP, PF, 6100.00, 2, 64, 12, 6, 0, 1, 1, 59, 30.86, 41.7 
Amir Johnson, BOS, PF, 4600.00, 9, 237, 81, 16, 7, 12, 18, 80, 13.54, 24.58 
Evan Turner, BOS, SF, 6100.00, 9, 297, 48, 36, 12, 6, 18, 135, 19.44, 29.4 
Serge Ibaka, OKC, PF, 5500.00, 8, 229, 53, 9, 4, 12, 6, 105, 17.16, 26.01 
Tyler Hansbrough, CHA, PF, 3500.00, 4, 17, 5, 0, 0, 0, 0, 7, 15.91, 3.25 
C.J. Miles, IND, SF, 3800.00, 10, 156, 18, 9, 6, 5, 7, 111, 26.25, 16.11 
Ersan Ilyasova, ORL, PF, 3900.00, 4, 85, 22, 4, 2, 1, 2, 30, 16.04, 16.6 
Anthony Morrow, OKC, SG, 3500.00, 8, 76, 1, 4, 0, 1, 4, 41, 19.81, 5.78 
Charlie Villanueva, DAL, PF, 3500.00, 6, 59, 16, 1, 2, 3, 4, 30, 24.17, 9.45 
Jeff Green, LAC, SF, 4200.00, 9, 234, 27, 9, 9, 7, 8, 102, 18.98, 19.1 
Nicolas Batum, CHA, SF, 7600.00, 9, 299, 51, 60, 6, 2, 20, 159, 24.04, 34.02 
Marvin Williams, CHA, PF, 5600.00, 9, 266, 48, 14, 6, 8, 7, 103, 15.42, 22.51 
Jared Dudley, WAS, PF, 3500.00, 10, 167, 24, 20, 4, 1, 5, 36, 12.17, 9.98 
Trevor Ariza, HOU, SF, 5600.00, 9, 339, 39, 19, 13, 2, 10, 114, 15.05, 23.26 
Michael Beasley, HOU, SF, 5300.00, 9, 204, 55, 7, 2, 5, 13, 141, 28.19, 24.28 
Wesley Matthews, DAL, SG, 5100.00, 9, 329, 33, 19, 10, 2, 10, 147, 16.58, 25.46 
Paul Pierce, LAC, SF, 3500.00, 6, 102, 17, 7, 6, 2, 5, 37, 17.80, 13.15 
Dirk Nowitzki, DAL, PF, 7100.00, 8, 270, 48, 17, 8, 5, 9, 152, 25.35, 31.51 
Kevin Love, CLE, PF, 7000.00, 10, 280, 86, 25, 3, 5, 22, 173, 24.30, 30.77 
Kevin Durant, OKC, SF, 10500.00, 9, 310, 80, 53, 12, 6, 35, 257, 32.47, 48.17 
Ian Mahinmi, IND, C, 5200.00, 9, 268, 68, 16, 8, 8, 19, 106, 16.52, 24.96 
Joel Anthony, DET, C, 3500.00, 1, 3, 1, 0, 0, 0, 0, 0, 0.00, 1.2 
J.J. Hickson, WAS, PF, 3500.00, 4, 27, 10, 1, 2, 0, 2, 23, 30.36, 9.63 
Kendrick Perkins, NOP, C, 3500.00, 11, 191, 49, 11, 4, 3, 10, 38, 9.41, 10.66 
Cole Aldrich, LAC, C, 3500.00, 10, 147, 48, 7, 10, 17, 17, 46, 14.38, 15.11 
Chris Kaman, POR, C, 3500.00, 4, 21, 8, 2, 0, 1, 2, 14, 20.08, 6.65 
Kevin Seraphin, NYK, PF, 3600.00, 9, 127, 40, 9, 2, 7, 7, 50, 19.37, 13.61 
Timofey Mozgov, CLE, C, 3500.00, 11, 180, 49, 5, 3, 10, 10, 62, 12.94, 13.12 
Zaza Pachulia, DAL, C, 3600.00, 8, 136, 51, 7, 2, 0, 8, 35, 13.50, 12.84 
Omer Asik, NOP, C, 3500.00, 10, 179, 67, 4, 4, 1, 8, 43, 12.29, 13.14 
Nick Collison, OKC, PF, 3500.00, 3, 28, 11, 2, 0, 1, 3, 8, 15.23, 7.73 
Robin Lopez, NYK, C, 5900.00, 10, 298, 90, 15, 2, 24, 17, 98, 16.17, 26.35 
Jason Smith, ORL, PF, 3700.00, 10, 163, 31, 15, 4, 6, 4, 84, 22.23, 15.97 
Spencer Hawes, CHA, C, 3800.00, 5, 60, 20, 8, 1, 3, 3, 18, 20.35, 11.8 
Brandon Bass, LAL, PF, 3800.00, 7, 156, 31, 8, 3, 3, 6, 58, 14.42, 16.17 
Marcin Gortat, WAS, C, 6400.00, 10, 315, 109, 9, 7, 7, 15, 142, 16.67, 29.93 
Channing Frye, CLE, PF, 3500.00, 11, 183, 37, 11, 2, 4, 7, 74, 19.29, 12.72 
JaVale McGee, DAL, C, 3500.00, 1, 13, 2, 0, 0, 0, 0, 2, 9.23, 4.4 
DeAndre Jordan, LAC, C, 8300.00, 9, 285, 112, 17, 10, 20, 16, 120, 16.99, 35.99 
Roy Hibbert, LAL, C, 4000.00, 9, 201, 51, 7, 5, 12, 3, 44, 10.42, 16.3 
Al Jefferson, CHA, C, 5000.00, 9, 190, 66, 14, 4, 8, 5, 92, 22.24, 23.47 
David Lee, DAL, PF, 4200.00, 9, 136, 63, 15, 1, 4, 11, 62, 19.02, 17.68 
Dwight Howard, HOU, C, 6500.00, 9, 267, 96, 10, 7, 18, 18, 74, 13.56, 26.24 
Blake Griffin, LAC, PF, 8600.00, 2, 40, 8, 7, 1, 0, 5, 10, 21.07, 13.55 
Nikola Vucevic, ORL, C, 8000.00, 3, 78, 20, 7, 3, 4, 5, 71, 30.33, 38.17 
Donatas Motiejunas, HOU, PF, 3500.00, 9, 154, 36, 8, 5, 2, 8, 79, 23.84, 15.58 
Enes Kanter, OKC, C, 5300.00, 10, 206, 88, 2, 4, 4, 17, 141, 24.11, 24.86 
Derrick Williams, NYK, PF, 3700.00, 10, 204, 36, 15, 1, 1, 13, 103, 20.27, 15.97 
Tristan Thompson, CLE, PF, 4600.00, 11, 282, 88, 9, 12, 12, 8, 90, 11.29, 22.65 
Jordan Hamilton, NOP, SF, 4600.00, 6, 164, 39, 16, 6, 2, 9, 65, 19.57, 23.8 
Markieff Morris, WAS, PF, 5500.00, 9, 247, 55, 10, 10, 8, 19, 138, 22.47, 26.22 
Marcus Morris, DET, SF, 6200.00, 10, 352, 53, 27, 9, 7, 19, 174, 17.69, 29.11 
Chandler Parsons, DAL, SF, 6800.00, 1, 22, 3, 0, 3, 0, 1, 14, 19.56, 22.6 
Kyle Singler, OKC, SF, 3500.00, 7, 104, 16, 3, 2, 0, 2, 20, 11.40, 6.53 
Lavoy Allen, IND, PF, 3500.00, 10, 151, 43, 8, 2, 2, 9, 42, 13.72, 10.46 
Tobias Harris, DET, PF, 6400.00, 10, 328, 64, 29, 5, 8, 8, 162, 20.22, 30.03 
Kyrie Irving, CLE, PG, 7200.00, 9, 291, 29, 48, 8, 4, 23, 153, 26.61, 28.98 
Kemba Walker, CHA, PG, 8100.00, 10, 348, 44, 46, 14, 2, 18, 186, 24.91, 32.18 
Isaiah Thomas, BOS, PG, 7700.00, 9, 288, 30, 40, 7, 1, 25, 219, 32.68, 34.0 
Andrew Goudelock, HOU, PG, 3500.00, 1, 8, 1, 1, 2, 0, 2, 2, 26.65, 6.7 
Iman Shumpert, CLE, SG, 3700.00, 11, 245, 40, 19, 9, 5, 9, 65, 13.06, 14.59 
Reggie Jackson, DET, PG, 5900.00, 10, 296, 33, 62, 5, 2, 34, 153, 30.68, 26.56 
Donald Sloan, BKN, PG, 3600.00, 9, 174, 17, 41, 4, 0, 8, 50, 15.51, 14.66 
Alan Anderson, WAS, SG, 3500.00, 1, 18, 3, 1, 0, 0, 0, 2, 14.07, 7.1 
Dion Waiters, OKC, SG, 3500.00, 10, 235, 20, 21, 14, 2, 15, 99, 18.98, 17.15 
Bradley Beal, WAS, SG, 5800.00, 9, 309, 30, 35, 8, 0, 13, 142, 21.07, 25.94 
Thomas Robinson, BKN, PF, 6000.00, 7, 157, 66, 8, 7, 3, 13, 61, 21.36, 22.74 
Damian Lillard, POR, PG, 8000.00, 11, 388, 38, 70, 5, 7, 37, 248, 30.72, 35.05 
Austin Rivers, LAC, PG, 3900.00, 10, 233, 27, 20, 9, 1, 10, 125, 21.40, 19.74 
Andre Drummond, DET, C, 8000.00, 10, 310, 137, 7, 8, 12, 12, 159, 21.07, 36.19 
Tyler Zeller, BOS, C, 3500.00, 5, 62, 17, 2, 0, 0, 4, 25, 18.10, 8.88 
Evan Fournier, ORL, SF, 5400.00, 10, 326, 20, 18, 10, 0, 17, 174, 20.75, 22.8 
Andrew Nicholson, ORL, PF, 4300.00, 9, 158, 47, 8, 2, 6, 7, 122, 25.11, 22.16 
Nazr Mohammed, OKC, C, 3500.00, 2, 9, 2, 0, 0, 0, 1, 4, 17.24, 2.7 
Robert Sacre, LAL, C, 3500.00, 2, 15, 7, 0, 0, 0, 0, 10, 20.05, 9.2 
Kyle O'Quinn, NYK, C, 3500.00, 6, 68, 21, 5, 1, 2, 2, 27, 16.45, 10.62 
Jae Crowder, BOS, SF, 6200.00, 2, 64, 15, 6, 7, 0, 3, 35, 24.54, 36.5 
Jeremy Lamb, CHA, SG, 3500.00, 8, 111, 31, 8, 4, 5, 5, 40, 19.19, 12.78 
Brian Roberts, POR, PG, 3500.00, 8, 44, 5, 8, 1, 1, 1, 4, 16.04, 3.13 
Metta World Peace, LAL, SF, 3500.00, 6, 98, 14, 3, 7, 1, 4, 45, 19.96, 13.05 
Pablo Prigioni, LAC, PG, 3500.00, 9, 91, 15, 19, 6, 0, 2, 20, 12.62, 8.5 
Luc Richard Mbah a Moute, LAC, SF, 3500.00, 10, 162, 21, 6, 4, 1, 3, 36, 8.66, 7.72 
Garrett Temple, WAS, SG, 3500.00, 10, 184, 23, 12, 6, 4, 8, 48, 11.94, 10.56 
Jared Sullinger, BOS, PF, 5600.00, 9, 204, 71, 17, 7, 1, 14, 86, 22.68, 22.08 
Patrick Beverley, HOU, PG, 5200.00, 9, 294, 31, 46, 5, 4, 12, 110, 16.39, 24.69 
Aron Baynes, DET, C, 3500.00, 10, 160, 61, 1, 1, 5, 6, 92, 19.96, 17.27 
Henry Sims, BKN, C, 4000.00, 9, 151, 40, 4, 5, 6, 7, 54, 16.42, 13.67 
Mason Plumlee, POR, C, 5300.00, 11, 277, 87, 34, 13, 10, 18, 118, 19.09, 27.4 
Victor Oladipo, ORL, SG, 8400.00, 8, 295, 42, 34, 24, 12, 18, 170, 23.55, 40.67 
Cody Zeller, CHA, C, 4800.00, 10, 232, 66, 9, 9, 14, 3, 85, 12.22, 22.07 
Matthew Dellavedova, CLE, PG, 3600.00, 11, 224, 23, 46, 1, 3, 18, 58, 17.58, 13.15 
Kelly Olynyk, BOS, C, 3500.00, 9, 179, 24, 10, 3, 1, 8, 77, 18.70, 13.42 
Jorge Gutierrez, CHA, PG, 3500.00, 3, 19, 1, 6, 2, 0, 2, 5, 14.44, 5.73 
Steven Adams, OKC, C, 4600.00, 10, 269, 61, 10, 11, 12, 13, 95, 13.70, 21.62 
Andre Roberson, OKC, SG, 3500.00, 10, 231, 37, 7, 7, 3, 6, 45, 7.24, 11.39 
Solomon Hill, IND, SG, 3500.00, 9, 147, 26, 9, 6, 0, 5, 30, 10.47, 9.08 
Kentavious Caldwell-Pope, DET, SG, 5400.00, 9, 328, 36, 25, 7, 0, 13, 117, 17.59, 22.08 
Sergey Karasev, BKN, SF, 3500.00, 7, 144, 27, 21, 2, 0, 9, 47, 15.39, 15.13 
Dewayne Dedmon, ORL, C, 3700.00, 10, 160, 58, 6, 4, 7, 10, 83, 18.67, 17.36 
Willie Reed, BKN, PF, 3800.00, 4, 62, 23, 0, 0, 5, 1, 28, 16.03, 16.15 
Reggie Bullock, DET, SF, 3500.00, 4, 23, 7, 1, 1, 1, 0, 9, 8.85, 5.72 
Moe Harkless, POR, SF, 4400.00, 11, 265, 69, 10, 10, 7, 8, 120, 17.90, 22.16 
Allen Crabbe, POR, SG, 3500.00, 11, 282, 31, 11, 5, 4, 6, 95, 14.32, 14.61 
Shane Larkin, BKN, PG, 4500.00, 10, 276, 29, 59, 15, 0, 20, 91, 18.02, 22.43 
Otto Porter, WAS, SF, 5400.00, 10, 333, 68, 13, 9, 4, 6, 138, 14.74, 25.91 
Alexis Ajinca, NOP, C, 4300.00, 9, 194, 54, 5, 6, 7, 20, 101, 25.07, 19.92 
C.J. McCollum, POR, SG, 6900.00, 11, 388, 27, 54, 22, 5, 32, 239, 26.91, 34.04 
Nene Hilario, WAS, PF, 3900.00, 10, 193, 50, 17, 6, 2, 16, 88, 21.22, 17.35 
Sasha Vujacic, NYK, SG, 3700.00, 10, 185, 39, 16, 8, 2, 12, 67, 16.25, 14.58 
Troy Daniels, CHA, SG, 3500.00, 5, 35, 3, 2, 0, 0, 1, 18, 19.54, 4.72 
Dwight Powell, DAL, PF, 3500.00, 7, 89, 24, 7, 2, 2, 2, 36, 18.55, 11.61 
Marcus Smart, BOS, PG, 4300.00, 9, 240, 41, 32, 8, 2, 15, 69, 18.29, 19.02 
Markel Brown, BKN, SG, 3800.00, 9, 151, 24, 12, 9, 3, 13, 69, 22.63, 14.09 
Bojan Bogdanovic, BKN, SF, 4500.00, 8, 204, 21, 13, 1, 0, 14, 124, 23.81, 19.59 
Cleanthony Early, NYK, SF, 3500.00, 2, 40, 7, 4, 0, 1, 4, 9, 22.20, 10.7 
K.J. McDaniels, HOU, SF, 3500.00, 7, 56, 12, 2, 0, 1, 4, 15, 14.99, 4.34 
Spencer Dinwiddie, DET, PG, 3500.00, 1, 3, 1, 1, 1, 0, 2, 0, 57.73, 2.7 
Shayne Whittington, IND, C, 3500.00, 1, 3, 0, 0, 0, 0, 0, 0, 13.33, 0.0 
Noah Vonleh, POR, PF, 3500.00, 11, 110, 32, 1, 2, 4, 7, 37, 11.79, 7.45 
Shabazz Napier, ORL, PG, 3500.00, 4, 13, 5, 2, 0, 0, 2, 12, 39.94, 4.75 
James Ennis, NOP, SF, 3900.00, 4, 111, 15, 11, 4, 2, 6, 49, 19.38, 22.38 
Aaron Gordon, ORL, PF, 5700.00, 10, 269, 68, 21, 8, 5, 6, 108, 18.04, 24.11 
Elfrid Payton, ORL, PG, 5800.00, 9, 260, 43, 75, 5, 4, 21, 93, 21.88, 28.23 
Devyn Marble, ORL, SG, 3500.00, 8, 68, 8, 3, 3, 0, 0, 16, 11.88, 4.51 
J.J. Barea, DAL, PG, 5900.00, 9, 259, 26, 50, 4, 0, 19, 168, 28.30, 29.24 
Tarik Black, LAL, C, 3500.00, 6, 82, 20, 5, 4, 2, 2, 15, 10.39, 9.42 
Clint Capela, HOU, PF, 4200.00, 9, 138, 53, 2, 11, 10, 1, 71, 18.23, 19.84 
Jeff Ayres, LAC, PF, 3500.00, 7, 39, 9, 1, 0, 0, 2, 14, 10.47, 3.47 
Glenn Robinson, IND, SF, 3500.00, 1, 2, 0, 0, 0, 0, 1, 0, 20.00, -1.0 
Mitch McGary, OKC, PF, 3500.00, 1, 6, 1, 0, 0, 0, 0, 4, 20.00, 5.2 
C.J. Wilcox, LAC, SG, 3500.00, 5, 28, 0, 2, 3, 0, 1, 18, 23.91, 5.2 
Jordan Clarkson, LAL, SG, 5600.00, 9, 287, 38, 14, 11, 0, 12, 130, 21.71, 22.96 
Julius Randle, LAL, PF, 6600.00, 9, 272, 100, 26, 5, 5, 16, 100, 17.80, 29.22 
Langston Galloway, NYK, SG, 4000.00, 10, 216, 26, 35, 14, 4, 8, 80, 18.92, 19.17 
Tim Frazier, NOP, PG, 5000.00, 11, 303, 45, 69, 15, 0, 25, 148, 22.53, 28.23 
Jarell Eddie, WAS, SG, 3500.00, 1, 1, 0, 0, 0, 0, 0, 2, 40.00, 2.0 
Jordan McRae, CLE, SG, 3500.00, 6, 32, 3, 5, 0, 0, 3, 9, 19.41, 2.85 
Sean Kilpatrick, BKN, SG, 3700.00, 10, 237, 22, 11, 4, 1, 17, 137, 24.30, 17.29 
Josh Smith, HOU, PF, 3500.00, 1, 6, 0, 0, 0, 0, 1, 5, 26.67, 4.0 
Jordan Mickey, BOS, PF, 3500.00, 2, 14, 4, 0, 0, 1, 0, 2, 25.03, 4.4 
Terry Rozier, BOS, PG, 3600.00, 8, 120, 27, 15, 3, 0, 6, 23, 13.42, 9.74 
R.J. Hunter, BOS, SG, 3500.00, 2, 16, 0, 1, 0, 0, 3, 8, 18.33, 3.25 
Chris McCullough, BKN, PF, 3800.00, 8, 138, 35, 4, 8, 2, 7, 38, 15.97, 12.38 
Rondae Hollis-Jefferson, BKN, SF, 3800.00, 6, 100, 20, 9, 8, 2, 4, 32, 15.70, 14.25 
Kristaps Porzingis, NYK, PF, 6900.00, 7, 237, 57, 13, 3, 12, 15, 118, 22.12, 31.56 
Jerian Grant, NYK, PG, 3600.00, 10, 169, 16, 16, 8, 2, 10, 62, 19.63, 11.52 
Stanley Johnson, DET, SF, 3500.00, 10, 207, 37, 14, 10, 1, 18, 51, 17.09, 12.04 
Darrun Hilliard, DET, SG, 3500.00, 4, 45, 10, 4, 1, 0, 1, 19, 15.86, 9.5 
Myles Turner, IND, PF, 5400.00, 10, 249, 77, 13, 7, 14, 17, 93, 18.84, 22.99 
Joseph Young, IND, SG, 3500.00, 2, 6, 2, 1, 0, 0, 2, 0, 35.53, 0.95 
Frank Kaminsky, CHA, PF, 3500.00, 10, 204, 33, 6, 3, 5, 5, 64, 13.78, 12.36 
Mario Hezonja, ORL, SF, 3500.00, 10, 193, 21, 13, 10, 5, 17, 57, 14.82, 11.47 
Kelly Oubre, WAS, SF, 3500.00, 5, 10, 4, 1, 0, 0, 2, 15, 56.84, 3.86 
Justin Anderson, DAL, SF, 4000.00, 9, 175, 41, 10, 4, 8, 3, 52, 13.01, 15.24 
Pat Connaughton, POR, SG, 3500.00, 3, 9, 1, 0, 0, 0, 1, 0, 17.78, 0.07 
Cameron Payne, OKC, PG, 3500.00, 8, 82, 4, 7, 4, 0, 5, 25, 18.79, 5.41 
Larry Nance, LAL, PF, 3700.00, 6, 137, 31, 5, 6, 7, 2, 32, 12.97, 16.78 
D'Angelo Russell, LAL, PG, 5400.00, 9, 247, 29, 18, 8, 3, 26, 99, 26.37, 17.42 
Cliff Alexander, POR, PF, 3500.00, 1, 4, 0, 0, 0, 0, 0, 0, 0.00, 0.0 
Sasha Kaun, CLE, C, 3500.00, 3, 8, 2, 1, 1, 0, 0, 5, 16.05, 3.63 
Salah Mejri, DAL, C, 4100.00, 7, 127, 43, 5, 4, 14, 10, 36, 13.31, 17.3 
Luis Montero, POR, SF, 3500.00, 3, 9, 1, 0, 0, 0, 1, 1, 21.69, 0.4 
Josh Huestis, OKC, SF, 3500.00, 2, 19, 1, 0, 0, 1, 1, 8, 12.38, 5.1 
Marcelo Huertas, LAL, PG, 3500.00, 9, 178, 12, 40, 5, 0, 18, 55, 19.61, 13.49 
