Player, Team, GP, MIN, TCH/G, TCH/Min, PossTm, Post, Paint, PPG, Pts/Tch, FPPG, FP/Tch
Stephen Curry, GSW, 2, 19.2, 50.00, 2.60, 3.00, 1.00, 0.00, 7.50, 0.30, 47.38, 0.95, 
James Harden, HOU, 5, 38.6, 84.60, 2.19, 6.50, 0.40, 0.60, 5.32, 0.31, 47.37, 0.56, 
Damian Lillard, POR, 7, 38.6, 90.00, 2.33, 8.60, 0.70, 0.90, 3.30, 0.26, 39.10, 0.43, 
Russell Westbrook, OKC, 7, 35.2, 84.70, 2.41, 8.60, 0.70, 0.60, 3.53, 0.29, 48.84, 0.58, 
DeMar DeRozan, TOR, 7, 36.2, 62.00, 1.71, 4.10, 0.70, 0.60, 2.56, 0.29, 34.52, 0.56, 
Isaiah Thomas, BOS, 6, 36.6, 90.50, 2.47, 6.90, 0.70, 0.50, 4.03, 0.27, 34.96, 0.39, 
Klay Thompson, GSW, 6, 34.4, 54.30, 1.58, 2.10, 1.00, 1.30, 4.28, 0.47, 31.32, 0.58, 
Kemba Walker, CHA, 7, 37.1, 90.10, 2.43, 9.10, 0.60, 0.30, 3.24, 0.25, 35.95, 0.40, 
C.J. McCollum, POR, 7, 38.6, 57.30, 1.48, 4.40, 0.60, 0.40, 2.66, 0.32, 31.44, 0.55, 
Kyle Lowry, TOR, 7, 38.6, 90.00, 2.33, 7.10, 0.70, 0.30, 1.99, 0.15, 37.87, 0.42, 
Kyrie Irving, CLE, 5, 37.1, 85.20, 2.30, 7.60, 0.00, 0.20, 5.24, 0.31, 31.22, 0.37, 
Chris Paul, LAC, 4, 31.3, 81.80, 2.61, 7.30, 0.50, 0.50, 5.95, 0.29, 41.42, 0.51, 
Dwyane Wade, MIA, 7, 31.2, 61.70, 1.98, 4.70, 1.00, 0.90, 2.71, 0.31, 31.62, 0.51, 
Reggie Jackson, DET, 4, 36.8, 85.50, 2.32, 8.40, 0.30, 0.00, 3.58, 0.17, 31.32, 0.37, 
J.J. Redick, LAC, 6, 27.7, 33.00, 1.19, 0.90, 1.00, 1.30, 2.25, 0.41, 20.61, 0.62, 
Jeff Teague, ATL, 7, 28.2, 67.90, 2.41, 5.60, 0.30, 0.30, 2.19, 0.23, 28.08, 0.41, 
Avery Bradley, BOS, 1, 33.2, 38.00, 1.14, 1.20, 0.00, 0.00, 18.00, 0.47, 23.96, 0.63, 
Kentavious Caldwell-Pope, DET, 4, 40.3, 42.30, 1.05, 1.60, 1.00, 0.80, 3.83, 0.36, 23.93, 0.57, 
Jamal Crawford, LAC, 6, 33.2, 53.20, 1.60, 3.70, 0.50, 1.00, 2.88, 0.33, 20.40, 0.38, 
Goran Dragic, MIA, 7, 29.8, 77.00, 2.58, 5.50, 0.60, 0.60, 2.01, 0.18, 27.24, 0.35, 
Deron Williams, DAL, 3, 16.4, 50.30, 3.07, 2.90, 0.30, 0.30, 1.67, 0.10, 25.57, 0.51, 
Monta Ellis, IND, 7, 32.2, 67.60, 2.10, 5.00, 0.40, 0.30, 1.66, 0.17, 26.85, 0.40, 
Wesley Matthews, DAL, 5, 34.7, 50.20, 1.45, 1.60, 0.20, 0.20, 2.60, 0.26, 20.54, 0.41, 
J.R. Smith, CLE, 5, 36, 35.00, 0.97, 0.90, 0.20, 0.20, 2.64, 0.38, 20.35, 0.58, 
George Hill, IND, 7, 33.6, 55.30, 1.65, 3.10, 0.40, 0.40, 1.94, 0.25, 23.30, 0.42, 
Joe Johnson, MIA, 7, 33.7, 40.60, 1.20, 2.20, 1.40, 0.60, 1.53, 0.26, 21.88, 0.54, 
Jeremy Lin, CHA, 7, 27, 46.10, 1.71, 3.60, 0.60, 0.30, 1.77, 0.27, 20.71, 0.45, 
Tony Parker, SA, 6, 23.7, 55.70, 2.35, 4.90, 0.50, 0.30, 1.33, 0.14, 22.45, 0.40, 
C.J. Miles, IND, 7, 13.1, 17.70, 1.35, 0.40, 0.30, 0.30, 0.49, 0.19, 17.06, 0.96, 
Dennis Schroder, ATL, 7, 20, 55.90, 2.80, 4.00, 0.40, 0.40, 1.70, 0.21, 19.77, 0.35, 
J.J. Barea, DAL, 4, 25.1, 68.50, 2.73, 5.90, 0.00, 0.00, 1.58, 0.09, 18.41, 0.27, 
Allen Crabbe, POR, 7, 26, 28.70, 1.10, 0.60, 1.40, 0.30, 1.16, 0.28, 16.22, 0.57, 
Dion Waiters, OKC, 7, 24.7, 27.60, 1.12, 1.80, 0.00, 0.00, 1.41, 0.36, 16.94, 0.61, 
Raymond Felton, DAL, 5, 34.5, 81.60, 2.37, 6.30, 0.40, 0.60, 3.00, 0.18, 19.77, 0.24, 
Patrick Beverley, HOU, 5, 25.7, 50.00, 1.95, 3.40, 0.20, 0.00, 1.16, 0.12, 20.87, 0.42, 
Courtney Lee, CHA, 7, 36.7, 46.00, 1.25, 1.60, 0.90, 0.70, 1.23, 0.19, 17.18, 0.37, 
Terrence Ross, TOR, 7, 12.2, 15.00, 1.23, 0.50, 0.00, 0.00, 0.71, 0.33, 14.96, 1.00, 
Kyle Korver, ATL, 7, 34.3, 35.60, 1.04, 0.70, 1.30, 0.90, 1.56, 0.31, 17.84, 0.50, 
Manu Ginobili, SA, 6, 18.2, 35.20, 1.93, 1.60, 0.30, 0.00, 1.25, 0.21, 18.01, 0.51, 
Kevin Martin, SA, 3, 14.2, 22.00, 1.55, 0.80, 2.00, 2.00, 2.43, 0.33, 13.14, 0.60, 
Marcus Smart, BOS, 6, 32.1, 59.50, 1.85, 3.20, 0.80, 0.30, 2.00, 0.20, 20.97, 0.35, 
Austin Rivers, LAC, 6, 24, 45.70, 1.90, 3.70, 0.00, 0.00, 1.72, 0.23, 14.48, 0.32, 
Rodney Stuckey, IND, 7, 17.8, 26.90, 1.51, 1.60, 0.40, 0.30, 0.90, 0.23, 15.85, 0.59, 
Gerald Henderson, POR, 7, 20.9, 27.70, 1.33, 0.90, 1.70, 0.90, 1.00, 0.25, 14.67, 0.53, 
Tyler Johnson, MIA, 1, 5.9, 18.00, 3.05, 1.40, 0.00, 0.00, 5.00, 0.28, 16.29, 0.90, 
Jordan Farmar, MEM, 4, 28.3, 61.00, 2.16, 5.30, 0.30, 0.30, 1.70, 0.11, 16.73, 0.27, 
Lance Stephenson, MEM, 4, 23.7, 34.00, 1.43, 2.00, 1.30, 1.50, 3.25, 0.38, 15.33, 0.45, 
Patty Mills, SA, 6, 18.3, 42.30, 2.31, 2.50, 0.50, 0.30, 1.38, 0.20, 15.62, 0.37, 
Cory Joseph, TOR, 7, 23, 48.10, 2.09, 4.50, 1.10, 0.60, 1.53, 0.22, 17.10, 0.36, 
Jeremy Lamb, CHA, 3, 3.9, 7.00, 1.79, 0.40, 0.30, 0.00, 1.23, 0.53, 15.93, 2.28, 
Gerald Green, MIA, 7, 7.5, 9.40, 1.25, 0.30, 0.00, 0.00, 0.49, 0.36, 13.11, 1.39, 
Tony Allen, MEM, 4, 23.4, 29.30, 1.25, 1.00, 1.30, 0.50, 1.88, 0.26, 18.06, 0.62, 
Mo Williams, CLE, 1, 0.7, 1.00, 1.43, 0.00, 0.00, 0.00, 0.00, 0.00, 13.47, 13.47, 
Devin Harris, DAL, 5, 24.1, 40.00, 1.66, 1.40, 0.80, 1.00, 1.56, 0.20, 14.21, 0.36, 
Matthew Dellavedova, CLE, 5, 17.2, 37.80, 2.20, 2.80, 0.20, 0.20, 1.56, 0.21, 16.55, 0.44, 
Danny Green, SA, 6, 24.2, 37.00, 1.53, 1.00, 0.20, 0.30, 1.37, 0.22, 17.19, 0.46, 
Vince Carter, MEM, 4, 22.7, 31.80, 1.40, 1.10, 1.80, 1.00, 2.83, 0.36, 12.51, 0.39, 
Shaun Livingston, GSW, 6, 27.2, 67.70, 2.49, 4.40, 3.00, 2.70, 2.17, 0.19, 15.42, 0.23, 
Josh Richardson, MIA, 7, 28.9, 45.70, 1.58, 2.60, 0.10, 0.10, 0.91, 0.14, 13.16, 0.29, 
Leandro Barbosa, GSW, 6, 13.5, 23.30, 1.73, 0.90, 0.70, 0.70, 1.03, 0.27, 10.87, 0.47, 
P.J. Hairston, MEM, 2, 11.1, 8.00, 0.72, 0.20, 0.00, 0.00, 1.25, 0.31, 10.79, 1.35, 
Tim Hardaway Jr., ATL, 7, 9.5, 14.00, 1.47, 0.40, 0.40, 0.30, 0.29, 0.14, 10.18, 0.73, 
Jason Terry, HOU, 5, 24.8, 37.60, 1.52, 2.30, 0.00, 0.00, 1.40, 0.19, 10.30, 0.27, 
Jonathon Simmons, SA, 3, 8.5, 15.30, 1.80, 0.90, 0.30, 0.30, 1.23, 0.24, 9.63, 0.63, 
Norman Powell, TOR, 7, 18, 19.90, 1.11, 0.70, 0.30, 0.30, 0.91, 0.32, 11.02, 0.55, 
Anthony Morrow, OKC, 7, 6.4, 3.60, 0.56, 0.10, 0.00, 0.00, 0.41, 0.81, 7.80, 2.17, 
Randy Foye, OKC, 6, 11.9, 17.20, 1.45, 1.60, 0.00, 0.00, 0.45, 0.16, 11.41, 0.66, 
Iman Shumpert, CLE, 5, 15.1, 17.60, 1.17, 0.70, 0.40, 0.20, 0.48, 0.14, 14.14, 0.80, 
Xavier Munford, MEM, 4, 22.3, 46.80, 2.10, 3.80, 0.30, 0.30, 1.20, 0.10, 12.50, 0.27, 
Ty Lawson, IND, 7, 10.5, 21.40, 2.04, 1.90, 0.30, 0.30, 0.33, 0.11, 12.83, 0.60, 
Troy Daniels, CHA, 4, 4.4, 5.00, 1.14, 0.10, 0.30, 0.30, 0.13, 0.10, 7.45, 1.49, 
Cameron Payne, OKC, 4, 8.9, 17.80, 2.00, 1.70, 0.50, 0.00, 0.50, 0.11, 10.40, 0.58, 
Jordan McRae, CLE, 1, 1.2, 3.00, 2.50, 0.10, 0.00, 0.00, 5.00, 1.67, 7.26, 2.42, 
Andre Roberson, OKC, 7, 22.9, 16.30, 0.71, 0.30, 0.40, 0.40, 0.39, 0.17, 12.30, 0.75, 
Justin Anderson, DAL, 5, 19, 34.60, 1.82, 1.10, 0.80, 0.60, 1.88, 0.27, 9.43, 0.27, 
Brandon Rush, GSW, 5, 9, 12.80, 1.42, 0.30, 0.20, 0.00, 0.72, 0.28, 8.95, 0.70, 
Steve Blake, DET, 4, 10.8, 25.80, 2.39, 2.40, 0.00, 0.00, 0.25, 0.04, 10.59, 0.41, 
Brian Roberts, POR, 6, 2.1, 2.00, 0.95, 0.20, 0.00, 0.00, 0.05, 0.15, 6.48, 3.24, 
Ian Clark, GSW, 6, 10.8, 21.50, 1.99, 1.30, 0.30, 0.20, 0.83, 0.23, 6.89, 0.32, 
Joseph Young, IND, 4, 2.6, 7.50, 2.88, 0.60, 0.00, 0.00, 0.58, 0.31, 7.23, 0.96, 
Andre Miller, SA, 3, 8.6, 21.00, 2.44, 1.70, 1.00, 1.00, 0.77, 0.11, 8.38, 0.40, 
Spencer Dinwiddie, DET, 1, 1.7, 5.00, 2.94, 0.60, 0.00, 0.00, 2.00, 0.40, 7.46, 1.49, 
Delon Wright, TOR, 4, 2.4, 3.30, 1.38, 0.20, 0.00, 0.00, 0.08, 0.09, 6.75, 2.05, 
Reggie Bullock, DET, 2, 11, 11.50, 1.05, 0.20, 1.00, 0.50, 3.00, 0.52, 7.20, 0.63, 
Briante Weber, MIA, 2, 3, 7.50, 2.50, 0.60, 0.00, 0.00, 0.00, 0.00, 12.33, 1.64, 
Kirk Hinrich, ATL, 5, 3.1, 7.00, 2.26, 0.40, 0.00, 0.00, 0.08, 0.06, 7.01, 1.00, 
C.J. Wilcox, LAC, 2, 3.7, 4.00, 1.08, 0.20, 0.00, 0.00, 0.00, 0.00, 4.96, 1.24, 
R.J. Hunter, BOS, 5, 8.2, 8.40, 1.02, 0.30, 0.00, 0.00, 0.20, 0.12, 4.97, 0.59, 
Lamar Patterson, ATL, 3, 3.6, 8.00, 2.22, 0.40, 0.00, 0.00, 0.67, 0.25, 5.68, 0.71, 
Pablo Prigioni, LAC, 5, 5.2, 11.60, 2.23, 0.80, 0.20, 0.00, 0.00, 0.00, 8.68, 0.75, 
Terry Rozier, BOS, 5, 19.7, 33.20, 1.69, 1.80, 0.40, 0.20, 0.96, 0.14, 5.99, 0.18, 
Pat Connaughton, POR, 5, 1.4, 1.80, 1.29, 0.10, 0.00, 0.00, 0.32, 0.89, 2.81, 1.56, 
James Young, BOS, 3, 3.4, 4.70, 1.38, 0.10, 0.00, 0.00, 0.23, 0.15, 2.99, 0.64, 
Aaron Harrison, CHA, 2, 3.7, 2.50, 0.68, 0.10, 0.00, 0.00, 0.00, 0.00, 2.10, 0.84, 
Kevin Durant, OKC, 7, 38, 61.00, 1.61, 2.70, 1.00, 0.90, 3.56, 0.41, 45.54, 0.75, 
LeBron James, CLE, 5, 41.1, 87.00, 2.12, 5.60, 2.80, 2.60, 4.64, 0.27, 45.06, 0.52, 
Paul George, IND, 7, 39.3, 69.00, 1.76, 3.00, 1.30, 1.00, 3.90, 0.40, 39.24, 0.57, 
Kawhi Leonard, SA, 6, 30.4, 46.80, 1.54, 2.30, 1.00, 0.80, 3.47, 0.44, 37.45, 0.80, 
Blake Griffin, LAC, 4, 31.7, 71.50, 2.26, 2.60, 2.00, 1.30, 3.75, 0.21, 38.23, 0.53, 
Dirk Nowitzki, DAL, 5, 34, 52.60, 1.55, 1.50, 3.60, 1.60, 4.08, 0.39, 30.35, 0.58, 
LaMarcus Aldridge, SA, 6, 30.8, 49.30, 1.60, 1.70, 4.50, 2.70, 3.80, 0.46, 32.30, 0.66, 
Paul Millsap, ATL, 7, 36.8, 68.60, 1.86, 2.20, 3.60, 2.60, 2.34, 0.24, 37.47, 0.55, 
Kevin Love, CLE, 5, 36.2, 70.20, 1.94, 2.00, 3.00, 2.00, 3.68, 0.26, 32.44, 0.46, 
Zach Randolph, MEM, 4, 29.9, 50.80, 1.70, 2.00, 2.50, 2.50, 3.25, 0.26, 27.70, 0.55, 
Tobias Harris, DET, 4, 39, 63.00, 1.62, 1.90, 0.50, 0.30, 3.63, 0.23, 27.67, 0.44, 
Nicolas Batum, CHA, 5, 28.8, 49.80, 1.73, 1.90, 0.20, 0.20, 2.28, 0.23, 29.98, 0.60, 
Marcus Morris, DET, 4, 36, 50.80, 1.41, 1.30, 2.30, 1.30, 4.45, 0.35, 24.50, 0.48, 
Draymond Green, GSW, 6, 35.7, 88.70, 2.48, 3.20, 2.20, 1.00, 2.47, 0.17, 39.02, 0.44, 
Jae Crowder, BOS, 6, 32.9, 61.50, 1.87, 1.30, 1.30, 1.20, 1.58, 0.15, 26.31, 0.43, 
Luol Deng, MIA, 7, 33.9, 65.40, 1.93, 1.60, 1.40, 1.10, 2.71, 0.29, 24.53, 0.38, 
Serge Ibaka, OKC, 7, 32, 30.60, 0.96, 0.60, 0.70, 0.60, 1.91, 0.44, 25.35, 0.83, 
Trevor Ariza, HOU, 5, 36.2, 43.00, 1.19, 1.20, 0.60, 0.00, 1.32, 0.15, 24.27, 0.56, 
Michael Beasley, HOU, 5, 16, 30.40, 1.90, 0.90, 1.80, 2.00, 2.08, 0.34, 19.57, 0.64, 
Kent Bazemore, ATL, 7, 32.7, 59.40, 1.82, 2.00, 2.40, 2.10, 2.04, 0.24, 23.31, 0.39, 
Jeff Green, LAC, 6, 26.4, 32.20, 1.22, 1.20, 0.30, 0.30, 1.70, 0.32, 20.35, 0.63, 
Harrison Barnes, GSW, 6, 30.8, 43.80, 1.42, 1.20, 1.70, 1.00, 1.45, 0.20, 20.74, 0.47, 
Marvin Williams, CHA, 7, 32.5, 45.40, 1.40, 0.80, 1.10, 0.70, 0.73, 0.11, 23.42, 0.52, 
Evan Turner, BOS, 6, 35.7, 68.70, 1.92, 3.40, 1.50, 1.20, 2.20, 0.19, 24.13, 0.35, 
Al-Farouq Aminu, POR, 7, 31.1, 43.60, 1.40, 1.20, 2.30, 2.00, 1.84, 0.30, 22.12, 0.51, 
DeMarre Carroll, TOR, 7, 28.5, 31.30, 1.10, 0.90, 0.90, 0.90, 1.23, 0.27, 19.57, 0.63, 
Matt Barnes, MEM, 4, 34.8, 64.50, 1.85, 2.00, 2.00, 1.80, 2.70, 0.17, 21.83, 0.34, 
Mason Plumlee, POR, 7, 28.8, 57.00, 1.98, 1.60, 4.40, 5.00, 1.00, 0.12, 24.96, 0.44, 
Luis Scola, TOR, 4, 13.8, 23.30, 1.69, 0.60, 0.00, 0.00, 0.50, 0.09, 16.32, 0.70, 
Jordan Hill, IND, 5, 3, 6.40, 2.13, 0.20, 0.00, 0.00, 0.00, 0.00, 17.70, 2.77, 
Stanley Johnson, DET, 4, 20.4, 31.30, 1.53, 0.80, 0.50, 0.30, 2.00, 0.26, 15.73, 0.50, 
David Lee, DAL, 2, 16.3, 25.50, 1.56, 0.50, 2.50, 2.50, 3.00, 0.24, 17.24, 0.68, 
Frank Kaminsky, CHA, 7, 27.2, 47.10, 1.73, 1.00, 1.60, 1.00, 1.01, 0.15, 15.60, 0.33, 
Marreese Speights, GSW, 6, 13.4, 27.80, 2.07, 0.60, 1.20, 0.20, 1.67, 0.36, 13.18, 0.47, 
Amir Johnson, BOS, 6, 22.3, 33.00, 1.48, 0.70, 4.70, 4.00, 1.42, 0.26, 19.83, 0.60, 
JaMychal Green, MEM, 4, 18.1, 31.00, 1.71, 0.60, 2.50, 2.00, 1.70, 0.22, 15.40, 0.50, 
Andre Iguodala, GSW, 6, 27.9, 54.50, 1.95, 3.00, 1.30, 0.80, 1.70, 0.19, 18.84, 0.35, 
David West, SA, 6, 17, 31.80, 1.87, 0.70, 3.70, 3.00, 1.00, 0.19, 16.29, 0.51, 
Corey Brewer, HOU, 5, 15.4, 19.60, 1.27, 0.60, 1.00, 0.60, 0.88, 0.22, 13.34, 0.68, 
Patrick Patterson, TOR, 7, 26.7, 37.60, 1.41, 0.80, 0.40, 0.40, 1.24, 0.23, 15.20, 0.40, 
Moe Harkless, POR, 7, 28.7, 35.30, 1.23, 0.80, 3.90, 3.30, 1.76, 0.35, 14.05, 0.40, 
Clint Capela, HOU, 5, 8.7, 10.40, 1.20, 0.20, 0.60, 0.40, 0.32, 0.15, 18.16, 1.75, 
Wesley Johnson, LAC, 6, 12.8, 10.00, 0.78, 0.20, 0.30, 0.20, 0.45, 0.27, 14.01, 1.40, 
Donatas Motiejunas, HOU, 5, 19.7, 39.40, 2.00, 0.80, 2.00, 1.40, 1.76, 0.22, 12.00, 0.30, 
Kris Humphries, ATL, 1, 8.8, 25.00, 2.84, 0.70, 0.00, 1.00, 8.00, 0.32, 13.26, 0.53, 
Justise Winslow, MIA, 7, 23.8, 32.40, 1.36, 0.90, 1.40, 0.90, 0.91, 0.20, 15.97, 0.49, 
Mike Scott, ATL, 7, 19.1, 29.00, 1.52, 0.60, 2.60, 1.70, 1.24, 0.30, 11.84, 0.41, 
Ed Davis, POR, 7, 17.3, 30.40, 1.76, 0.60, 2.10, 2.30, 0.71, 0.16, 19.08, 0.63, 
Boris Diaw, SA, 6, 18.1, 40.00, 2.21, 1.10, 4.30, 2.70, 0.92, 0.14, 13.57, 0.34, 
Thabo Sefolosha, ATL, 7, 17.6, 31.90, 1.81, 0.90, 0.60, 0.40, 0.51, 0.11, 16.08, 0.50, 
Aron Baynes, DET, 4, 11, 9.80, 0.89, 0.20, 1.50, 1.30, 0.63, 0.26, 13.57, 1.38, 
Josh Smith, HOU, 4, 9.4, 14.50, 1.54, 0.50, 0.30, 0.30, 1.00, 0.28, 13.68, 0.94, 
Channing Frye, CLE, 4, 9.4, 13.30, 1.41, 0.20, 0.30, 0.50, 0.70, 0.21, 12.26, 0.92, 
Paul Pierce, LAC, 5, 10.7, 15.00, 1.40, 0.40, 0.00, 0.00, 0.24, 0.08, 11.03, 0.74, 
Dwight Powell, DAL, 4, 16, 25.00, 1.56, 0.60, 2.80, 2.30, 1.50, 0.24, 12.66, 0.51, 
Amare Stoudemire, MIA, 4, 12.8, 13.50, 1.05, 0.40, 1.80, 1.30, 1.25, 0.37, 12.78, 0.95, 
Jarell Martin, MEM, 2, 23.1, 38.50, 1.67, 1.10, 2.50, 2.50, 2.25, 0.12, 10.74, 0.28, 
Richard Jefferson, CLE, 5, 15.3, 14.60, 0.95, 0.30, 0.80, 0.40, 0.84, 0.29, 9.35, 0.64, 
Anthony Tolliver, DET, 3, 8.7, 10.70, 1.23, 0.20, 0.30, 0.30, 0.43, 0.12, 10.94, 1.02, 
Charlie Villanueva, DAL, 4, 5.1, 7.00, 1.37, 0.10, 0.50, 0.50, 0.58, 0.33, 9.27, 1.32, 
Lavoy Allen, IND, 6, 8.5, 14.20, 1.67, 0.20, 1.00, 1.20, 0.17, 0.07, 13.49, 0.95, 
James Johnson, TOR, 1, 3.3, 4.00, 1.21, 0.10, 0.00, 0.00, 2.00, 0.50, 10.58, 2.65, 
Solomon Hill, IND, 7, 28.3, 37.40, 1.32, 0.90, 0.40, 0.40, 1.10, 0.21, 11.20, 0.30, 
Jonas Jerebko, BOS, 6, 27, 52.00, 1.93, 1.00, 1.50, 1.70, 1.53, 0.18, 11.44, 0.22, 
Kyle Anderson, SA, 6, 16.1, 26.70, 1.66, 1.00, 0.70, 0.50, 0.42, 0.09, 12.45, 0.47, 
Chris Andersen, MEM, 4, 19.7, 29.30, 1.49, 0.70, 0.80, 1.00, 0.95, 0.13, 11.27, 0.38, 
James Jones, CLE, 1, 1.2, 2.00, 1.67, 0.00, 0.00, 0.00, 0.00, 0.00, 6.04, 3.02, 
Glenn Robinson, IND, 4, 2.6, 2.80, 1.08, 0.10, 0.30, 0.50, 0.45, 0.64, 6.97, 2.49, 
Montrezl Harrell, HOU, 2, 5.8, 6.50, 1.12, 0.20, 0.50, 0.50, 0.75, 0.23, 6.70, 1.03, 
Noah Vonleh, POR, 5, 2.2, 3.80, 1.73, 0.10, 0.00, 0.00, 0.00, 0.00, 9.10, 2.39, 
Josh McRoberts, MIA, 5, 9.5, 15.60, 1.64, 0.60, 0.00, 0.00, 0.24, 0.08, 9.59, 0.61, 
Kyle Singler, OKC, 3, 10.3, 9.00, 0.87, 0.10, 0.00, 0.00, 0.67, 0.22, 7.01, 0.78, 
Mike Muscala, ATL, 7, 7.3, 13.00, 1.78, 0.20, 1.00, 0.90, 0.29, 0.15, 7.34, 0.56, 
Luc Richard Mbah a Moute, LAC, 5, 15.7, 9.40, 0.60, 0.20, 0.20, 0.20, 0.36, 0.19, 8.00, 0.85, 
Jason Thompson, TOR, 3, 3.1, 6.30, 2.03, 0.10, 0.00, 0.00, 0.43, 0.21, 8.11, 1.29, 
K.J. McDaniels, HOU, 4, 8.4, 8.50, 1.01, 0.40, 0.00, 0.00, 0.58, 0.27, 4.96, 0.58, 
Tyler Hansbrough, CHA, 2, 2.8, 1.50, 0.54, 0.00, 0.00, 0.00, 0.00, 0.00, 5.41, 3.61, 
Nick Collison, OKC, 6, 11.3, 10.30, 0.91, 0.20, 0.80, 0.70, 0.13, 0.08, 6.89, 0.67, 
Udonis Haslem, MIA, 3, 9.2, 9.00, 0.98, 0.20, 1.00, 1.00, 0.33, 0.11, 4.90, 0.54, 
Andre Drummond, DET, 4, 32.9, 39.50, 1.20, 1.00, 6.00, 4.80, 4.20, 0.43, 38.55, 0.98, 
Al Horford, ATL, 7, 33.1, 66.40, 2.01, 1.40, 3.70, 3.30, 1.73, 0.18, 32.24, 0.49, 
Hassan Whiteside, MIA, 7, 29.2, 35.70, 1.22, 0.70, 6.70, 6.30, 1.87, 0.37, 35.58, 1.00, 
Dwight Howard, HOU, 5, 36, 68.80, 1.91, 1.70, 9.80, 9.20, 2.64, 0.19, 32.83, 0.48, 
Jonas Valanciunas, TOR, 7, 26.3, 51.10, 1.94, 1.20, 6.60, 5.60, 1.94, 0.27, 27.57, 0.54, 
Enes Kanter, OKC, 7, 19.9, 35.10, 1.76, 0.70, 2.90, 2.70, 1.91, 0.38, 23.08, 0.66, 
DeAndre Jordan, LAC, 6, 33, 60.00, 1.82, 1.30, 3.20, 3.30, 1.95, 0.20, 35.88, 0.60, 
Al Jefferson, CHA, 7, 24.1, 34.60, 1.44, 1.20, 5.70, 4.10, 1.90, 0.38, 23.76, 0.69, 
Myles Turner, IND, 7, 28.2, 38.40, 1.36, 0.90, 5.00, 4.10, 1.47, 0.27, 20.95, 0.55, 
Jared Sullinger, BOS, 6, 13.6, 27.20, 2.00, 0.70, 3.00, 2.30, 0.87, 0.19, 24.38, 0.90, 
Kelly Olynyk, BOS, 4, 7.9, 16.80, 2.13, 0.40, 0.80, 0.80, 0.13, 0.03, 17.56, 1.05, 
Ian Mahinmi, IND, 7, 24.6, 35.90, 1.46, 0.80, 4.60, 4.60, 1.16, 0.23, 22.11, 0.62, 
Cody Zeller, CHA, 7, 19.6, 18.10, 0.92, 0.50, 2.30, 2.60, 1.20, 0.46, 19.71, 1.09, 
Zaza Pachulia, DAL, 5, 22.4, 34.40, 1.54, 0.90, 3.60, 3.00, 1.32, 0.19, 22.86, 0.66, 
Tim Duncan, SA, 6, 21.6, 37.50, 1.74, 1.00, 4.00, 4.20, 0.92, 0.15, 23.66, 0.63, 
Steven Adams, OKC, 7, 28.7, 46.90, 1.63, 0.80, 4.70, 4.30, 1.37, 0.20, 19.43, 0.41, 
Tristan Thompson, CLE, 5, 30.8, 31.20, 1.01, 0.60, 3.40, 2.60, 0.92, 0.15, 20.88, 0.67, 
Festus Ezeli, GSW, 5, 8, 15.80, 1.98, 0.30, 3.00, 2.80, 0.76, 0.24, 16.07, 1.02, 
Timofey Mozgov, CLE, 3, 4.6, 6.00, 1.30, 0.10, 0.30, 0.30, 0.00, 0.00, 13.06, 2.18, 
Tyler Zeller, BOS, 3, 12.7, 21.00, 1.65, 0.50, 2.30, 1.00, 2.00, 0.29, 10.80, 0.51, 
Spencer Hawes, CHA, 5, 10.6, 17.80, 1.68, 0.40, 0.80, 0.60, 0.72, 0.20, 14.20, 0.80, 
Boban Marjanovic, SA, 5, 6.9, 12.60, 1.83, 0.30, 2.00, 2.20, 0.88, 0.35, 11.30, 0.90, 
Bismack Biyombo, TOR, 7, 19.6, 31.90, 1.63, 0.70, 2.60, 2.60, 0.77, 0.17, 18.57, 0.58, 
Cole Aldrich, LAC, 6, 12.8, 24.20, 1.89, 0.50, 1.70, 2.20, 0.63, 0.16, 15.29, 0.63, 
Andrew Bogut, GSW, 6, 19.1, 32.50, 1.70, 0.90, 3.00, 2.50, 0.95, 0.18, 20.31, 0.62, 
JaVale McGee, DAL, 2, 7.1, 9.50, 1.34, 0.20, 0.50, 0.50, 1.00, 0.21, 10.66, 1.12, 
Salah Mejri, DAL, 4, 19, 22.50, 1.18, 0.40, 3.30, 2.80, 1.20, 0.21, 10.83, 0.48, 
Chris Kaman, POR, 4, 8.1, 15.30, 1.89, 0.40, 1.30, 0.50, 0.88, 0.23, 5.42, 0.35, 
Anderson Varejao, GSW, 3, 7.1, 13.30, 1.87, 0.30, 1.00, 1.00, 0.57, 0.13, 7.36, 0.55, 
Jeff Ayres, LAC, 2, 1.2, 0.50, 0.42, 0.00, 0.00, 0.00, 0.75, 3.00, 3.72, 7.43, 
